"","method","rep","rmse","rmse.off","kl.div","auroc","sen","spe","pre","recall","acc","f1","fdr","converged","run.time","dgp"
"5484","huge.ric",34,0.241244005012936,0.999598097427799,10.7529969005862,0.5875,0.175,1,1,0.175,0.988963210702341,0.297872340425532,0,TRUE,11.6940310001373,"hub5_p300_n500_diag0_R50"
"5485","huge.stars",34,0.240397725329074,0.995986847523807,7.90902672689876,0.74400252354049,0.488333333333333,0.981220338983051,0.26067615658363,0.488333333333333,0.974626532887402,0.339907192575406,0.73932384341637,TRUE,154.105746507645,"hub5_p300_n500_diag0_R50"
"5486","cv.loglik",34,0.239803445003706,0.99363159899149,7.46588630057781,0.785364821092279,0.573333333333333,0.929898305084746,0.0998258850841555,0.573333333333333,0.925128205128205,0.170044488383589,0.900174114915844,TRUE,104.589203834534,"hub5_p300_n500_diag0_R50"
"5487","huge.tiger",34,0.833810949144267,0.973021751996262,99.1675481709419,0.590833333333333,0.181666666666667,1,1,0.181666666666667,0.989052396878484,0.307475317348378,0,TRUE,1.75363421440125,"hub5_p300_n500_diag0_R50"
"5488","pcglasso",34,0.224093636216412,0.931981784770386,10.4286530220433,0.625,0.25,1,1,0.25,0.989966555183946,0.4,0,TRUE,595.186277151108,"hub5_p300_n500_diag0_R50"
"5489","large",35,0.19679846613669,0.856085471802839,7.85701980377777,0.817375442561205,0.635,0.991412429378531,0.50065703022339,0.635,0.986644370122631,0.559882439382807,0.49934296977661,TRUE,618.460246562958,"hub5_p300_n500_diag0_R50"
"5490","huge.ebic",35,0.241679321808371,0.999319474243779,10.3375629086799,0.611647156308851,0.223333333333333,0.999864406779661,0.957142857142857,0.223333333333333,0.989476031215162,0.362162162162162,0.0428571428571429,TRUE,3.15987086296082,"hub5_p300_n500_diag0_R50"
"5491","huge.ric",35,0.241735574968509,0.999561331533622,10.7505853194209,0.590009039548023,0.18,0.99993220338983,0.972972972972973,0.18,0.988963210702341,0.30379746835443,0.027027027027027,TRUE,6.31190538406372,"hub5_p300_n500_diag0_R50"
"5492","huge.stars",35,0.24082910612081,0.995719111988801,7.97052775939861,0.750403634651601,0.501666666666667,0.973039548022599,0.201472556894244,0.501666666666667,0.966733556298774,0.28748806112703,0.798527443105756,TRUE,98.1462233066559,"hub5_p300_n500_diag0_R50"
"5493","cv.loglik",35,0.240414408339638,0.994097088550494,7.74409171223294,0.782709736346516,0.568333333333333,0.934282485875706,0.104955370883349,0.568333333333333,0.929386845039019,0.177188880228631,0.895044629116651,TRUE,65.9215698242188,"hub5_p300_n500_diag0_R50"
"5494","huge.tiger",35,0.831480684042422,0.967831611543123,98.8898820211562,0.6,0.2,1,1,0.2,0.989297658862876,0.333333333333333,0,TRUE,0.762883424758911,"hub5_p300_n500_diag0_R50"
"5495","pcglasso",35,0.221652209064936,0.919212016141961,10.5864897917251,0.633333333333333,0.266666666666667,1,1,0.266666666666667,0.990189520624303,0.421052631578947,0,TRUE,491.426382541656,"hub5_p300_n500_diag0_R50"
"5496","large",36,0.198875658697168,0.861656008016117,7.71907615947325,0.817356723163842,0.635,0.992112994350282,0.521917808219178,0.635,0.987335562987737,0.572932330827068,0.478082191780822,TRUE,717.330276250839,"hub5_p300_n500_diag0_R50"
"5497","huge.ebic",36,0.24225737899755,0.999240829257933,10.1863068149515,0.614180715630885,0.228333333333333,0.999593220338983,0.883870967741936,0.228333333333333,0.989275362318841,0.362913907284768,0.116129032258065,TRUE,5.29672169685364,"hub5_p300_n500_diag0_R50"
"5498","huge.ric",36,0.242332223336556,0.999561545637032,10.6797447212852,0.588323728813559,0.176666666666667,0.99993220338983,0.972477064220184,0.176666666666667,0.98891861761427,0.29901269393512,0.0275229357798165,TRUE,11.1507887840271,"hub5_p300_n500_diag0_R50"
"5499","huge.stars",36,0.241397968098478,0.995635468861879,7.84383621034442,0.750600451977401,0.501666666666667,0.97335593220339,0.203378378378378,0.501666666666667,0.967045707915273,0.289423076923077,0.796621621621622,TRUE,163.58162355423,"hub5_p300_n500_diag0_R50"
"5500","cv.loglik",36,0.240872686858761,0.993619040473847,7.7482108784279,0.785533145009416,0.573333333333333,0.919887005649717,0.0884546155824119,0.573333333333333,0.915250836120401,0.153263533080864,0.911545384417588,TRUE,108.624317407608,"hub5_p300_n500_diag0_R50"
"5501","huge.tiger",36,0.833650038439217,0.972379478620761,99.3398114068607,0.603333333333333,0.206666666666667,1,1,0.206666666666667,0.989386845039019,0.342541436464088,0,TRUE,1.68912196159363,"hub5_p300_n500_diag0_R50"
"5502","pcglasso",36,0.223235579763207,0.924025972125273,10.3433900470666,0.649992052730697,0.3,0.999977401129943,0.994475138121547,0.3,0.990613154960981,0.460947503201024,0.00552486187845304,TRUE,481.582767009735,"hub5_p300_n500_diag0_R50"
"5503","large",37,0.208703990528788,0.896298641035004,7.98920550820228,0.809793239171375,0.62,0.99193220338983,0.510288065843621,0.62,0.98695652173913,0.559819413092551,0.489711934156379,TRUE,653.40031504631,"hub5_p300_n500_diag0_R50"
"5504","huge.ebic",37,0.242324112598586,0.999382781512533,10.4562107015855,0.610812580037665,0.221666666666667,0.999774011299435,0.93006993006993,0.221666666666667,0.989364548494983,0.358008075370121,0.0699300699300699,TRUE,4.46409583091736,"hub5_p300_n500_diag0_R50"
"5505","huge.ric",37,0.242388619001561,0.999661683518611,10.9258821793974,0.575009604519774,0.15,0.999977401129943,0.989010989010989,0.15,0.98860646599777,0.260492040520984,0.010989010989011,TRUE,9.11247277259827,"hub5_p300_n500_diag0_R50"
"5506","huge.stars",37,0.241463987194778,0.995733389228702,7.9529427860578,0.743953276836158,0.488333333333333,0.975593220338983,0.213401310997815,0.488333333333333,0.96907469342252,0.297009630005068,0.786598689002185,TRUE,134.713472604752,"hub5_p300_n500_diag0_R50"
"5507","cv.loglik",37,0.241675966385861,0.99660984472855,8.33389802650856,0.729709792843691,0.46,0.987141242937853,0.326627218934911,0.46,0.980089186176143,0.382006920415225,0.673372781065089,TRUE,73.4914522171021,"hub5_p300_n500_diag0_R50"
"5508","huge.tiger",37,0.835623718995717,0.976717205425402,99.4879721723199,0.593333333333333,0.186666666666667,1,1,0.186666666666667,0.989119286510591,0.314606741573034,0,TRUE,1.36411333084106,"hub5_p300_n500_diag0_R50"
"5509","pcglasso",37,0.226991655283973,0.938320240454276,10.5577918994889,0.630833333333333,0.261666666666667,1,1,0.261666666666667,0.990122630992196,0.414795244385733,0,TRUE,511.213943958283,"hub5_p300_n500_diag0_R50"
"5510","large",38,0.202665964387257,0.880581826815368,7.89991698514126,0.805904839924671,0.611666666666667,0.992474576271186,0.524285714285714,0.611666666666667,0.987380156075808,0.564615384615385,0.475714285714286,TRUE,615.772331476212,"hub5_p300_n500_diag0_R50"
"5511","huge.ebic",38,0.241063220291536,0.999309486917481,10.3034066978836,0.611664632768362,0.223333333333333,0.999728813559322,0.917808219178082,0.223333333333333,0.989342251950948,0.359249329758713,0.0821917808219178,TRUE,2.96969223022461,"hub5_p300_n500_diag0_R50"
"5512","huge.ric",38,0.241110781774238,0.999513349425528,10.6159425834511,0.592509209039548,0.185,0.99993220338983,0.973684210526316,0.185,0.989030100334448,0.310924369747899,0.0263157894736842,TRUE,6.08826279640198,"hub5_p300_n500_diag0_R50"
"5513","huge.stars",38,0.240241802950836,0.995853760864146,7.94783507922673,0.750637457627119,0.501666666666667,0.974802259887006,0.212570621468927,0.501666666666667,0.968472686733556,0.298611111111111,0.787429378531073,TRUE,93.7022213935852,"hub5_p300_n500_diag0_R50"
